Validation_set,Topics,Alpha,Beta,Coherence
75% Corpus,8,symmetric,0.7000000000000001,0.5211688719761417
75% Corpus,8,symmetric,symmetric,0.5874510247616223
75% Corpus,8,asymmetric,0.1,0.5712028521350084
75% Corpus,8,asymmetric,0.4,0.5775548379542046
75% Corpus,8,asymmetric,0.7000000000000001,0.5217413242644684
75% Corpus,8,asymmetric,symmetric,0.5725127867389603
75% Corpus,9,0.1,0.1,0.5551080117922971
75% Corpus,9,0.1,0.4,0.5865786375045613
75% Corpus,9,0.1,0.7000000000000001,0.5902191975569626
75% Corpus,9,0.1,symmetric,0.556053140175507
75% Corpus,9,0.4,0.1,0.5585453238887388
75% Corpus,9,0.4,0.4,0.5869251799304863
75% Corpus,9,0.4,0.7000000000000001,0.5895618894791843
75% Corpus,9,0.4,symmetric,0.5603584705719363
75% Corpus,9,0.7000000000000001,0.1,0.5406507266749124
75% Corpus,9,0.7000000000000001,0.4,0.5875838286377426
75% Corpus,9,0.7000000000000001,0.7000000000000001,0.5857186670911448
75% Corpus,9,0.7000000000000001,symmetric,0.5395566081086646
75% Corpus,9,symmetric,0.1,0.5551080117922971
75% Corpus,9,symmetric,0.4,0.5865786375045613
75% Corpus,9,symmetric,0.7000000000000001,0.589623591765661
75% Corpus,9,symmetric,symmetric,0.556053140175507
75% Corpus,9,asymmetric,0.1,0.5551080117922971
75% Corpus,9,asymmetric,0.4,0.5874029732880178
75% Corpus,9,asymmetric,0.7000000000000001,0.592095247987494
75% Corpus,9,asymmetric,symmetric,0.556053140175507
100% Corpus,4,0.1,0.1,0.6232499191040735
100% Corpus,4,0.1,0.4,0.6390553656390903
100% Corpus,4,0.1,0.7000000000000001,0.6488053107903611
100% Corpus,4,0.1,symmetric,0.6250411769358769
100% Corpus,4,0.4,0.1,0.6179475670440091
100% Corpus,4,0.4,0.4,0.6387770115816046
100% Corpus,4,0.4,0.7000000000000001,0.6387770115816047
100% Corpus,4,0.4,symmetric,0.6240218545135638
100% Corpus,4,0.7000000000000001,0.1,0.6150852450211652
100% Corpus,4,0.7000000000000001,0.4,0.6362531743396306
100% Corpus,4,0.7000000000000001,0.7000000000000001,0.6360824556338356
100% Corpus,4,0.7000000000000001,symmetric,0.6240218545135638
100% Corpus,4,symmetric,0.1,0.6179475670440091
100% Corpus,4,symmetric,0.4,0.6387770115816047
100% Corpus,4,symmetric,0.7000000000000001,0.6390553656390903
100% Corpus,4,symmetric,symmetric,0.625041176935877
100% Corpus,4,asymmetric,0.1,0.6179475670440091
100% Corpus,4,asymmetric,0.4,0.6356849647707826
100% Corpus,4,asymmetric,0.7000000000000001,0.6371446284722013
100% Corpus,4,asymmetric,symmetric,0.6240218545135638
100% Corpus,5,0.1,0.1,0.6430547945508078
100% Corpus,5,0.1,0.4,0.5897440107311688
100% Corpus,5,0.1,0.7000000000000001,0.5978812867365606
100% Corpus,5,0.1,symmetric,0.6435258275978686
100% Corpus,5,0.4,0.1,0.6300623425087901
100% Corpus,5,0.4,0.4,0.6230474977579925
100% Corpus,5,0.4,0.7000000000000001,0.5965087803221346
100% Corpus,5,0.4,symmetric,0.6354790945026207
100% Corpus,5,0.7000000000000001,0.1,0.6300623425087901
100% Corpus,5,0.7000000000000001,0.4,0.6233865579193074
100% Corpus,5,0.7000000000000001,0.7000000000000001,0.5975390034148937
100% Corpus,5,0.7000000000000001,symmetric,0.6338278697269444
100% Corpus,5,symmetric,0.1,0.6413856256314973
100% Corpus,5,symmetric,0.4,0.6313250576954802
100% Corpus,5,symmetric,0.7000000000000001,0.5978812867365606
100% Corpus,5,symmetric,symmetric,0.6407667328571591
